beadnum;phaselabel;loadmult;loadnote;relaymon;relaytue;relaywed;relaythu;relayfri;relaysat
1;Intro;x0.50;Foundation. Patterning the movements. Light.;0500. Decade 3, bead 1. Intro. Hips and shoulders open today.;0500. Decade 3, bead 1. Mode: Sorrowful. Foundation. Run easy. Find the line.;0500. Decade 3, bead 1. Mode: Glorious. Foundation. Pattern the lift. Quality over load.;0500. Decade 3, bead 1. Mode: Luminous. Foundation. The skill ladder begins.;0500. Decade 3, bead 1. Mode: Sorrowful. Foundation. Long carry, light load.;0500. Decade 3, bead 1. Mode: Joyful. Recovery. Walk. Breathe.
2;Intro;x0.60;Foundation +10\%. Body remembers.;0500. Decade 3, bead 2. Intro. Vigil + flow. Find the breath.;0500. Decade 3, bead 2. Mode: Sorrowful. Foundation. Repeat last week, add one.;0500. Decade 3, bead 2. Mode: Glorious. Foundation. Add one rep. No more.;0500. Decade 3, bead 2. Mode: Luminous. Foundation. Slow. Focused.;0500. Decade 3, bead 2. Mode: Sorrowful. Foundation. The long carrying.;0500. Decade 3, bead 2. Mode: Joyful. Recovery. The presentation.
3;Build;x0.70;Build phase. +20\% from foundation.;0500. Decade 3, bead 3. Build. Vigil long today. Open the body.;0500. Decade 3, bead 3. Mode: Sorrowful. Build. The grind begins. Stay on the protocol.;0500. Decade 3, bead 3. Mode: Glorious. Build. Lift heavier. Hold quality.;0500. Decade 3, bead 3. Mode: Luminous. Build. Skill ladder, one rung up.;0500. Decade 3, bead 3. Mode: Sorrowful. Build. Carry farther.;0500. Decade 3, bead 3. Mode: Joyful. Recovery. Breath.
4;Deload;x0.50;Deload. Drop to bead-1 levels. The rosary breathes.;0500. Decade 3, bead 4. Deload. Hips and shoulders today. Soft work.;0500. Decade 3, bead 4. Mode: Sorrowful. Deload. Run easy. Recover.;0500. Decade 3, bead 4. Mode: Glorious. Deload. Light loads. Move well.;0500. Decade 3, bead 4. Mode: Luminous. Deload. Patterning only today.;0500. Decade 3, bead 4. Mode: Sorrowful. Deload. Easy carry.;0500. Decade 3, bead 4. Mode: Joyful. Recovery. Walk.
5;Build;x0.80;Build. +30\% from foundation. Climbing again.;0500. Decade 3, bead 5. Build. Vigil + extended flow.;0500. Decade 3, bead 5. Mode: Sorrowful. Build. Run intervals, add one.;0500. Decade 3, bead 5. Mode: Glorious. Build. Add load. Hold form.;0500. Decade 3, bead 5. Mode: Luminous. Build. Next progression cued.;0500. Decade 3, bead 5. Mode: Sorrowful. Build. Long carrying returns.;0500. Decade 3, bead 5. Mode: Joyful. Recovery. Breath.
6;Peak;x1.00;Peak approaching. Full foundation load.;0500. Decade 3, bead 6. Peak. Vigil long. The body warms.;0500. Decade 3, bead 6. Mode: Sorrowful. Peak. Long day. Stay on the protocol.;0500. Decade 3, bead 6. Mode: Glorious. Peak. The heavy day. No skipping.;0500. Decade 3, bead 6. Mode: Luminous. Peak. Skill held under fatigue.;0500. Decade 3, bead 6. Mode: Sorrowful. Peak. The long carrying.;0500. Decade 3, bead 6. Mode: Joyful. Recovery. The presentation.
7;Peak;x1.15;Peak +15\%. Highest sustained volume.;0500. Decade 3, bead 7. Peak. Hips and shoulders open today.;0500. Decade 3, bead 7. Mode: Sorrowful. Peak. Long day. The grind.;0500. Decade 3, bead 7. Mode: Glorious. Peak. Lift heavy. Hold quality.;0500. Decade 3, bead 7. Mode: Luminous. Peak. Skill ladder, top rungs.;0500. Decade 3, bead 7. Mode: Sorrowful. Peak. Carry the load.;0500. Decade 3, bead 7. Mode: Joyful. Recovery. Walk. Breathe.
8;Peak;x1.30;Peak +30\%. Highest volume of the decade.;0500. Decade 3, bead 8. Peak. Vigil + extended flow. Hips and shoulders open today.;0500. Decade 3, bead 8. Mode: Sorrowful. Peak. Long day. Stay on the protocol.;0500. Decade 3, bead 8. Mode: Glorious. Peak. Heaviest day of the decade.;0500. Decade 3, bead 8. Mode: Luminous. Peak. Skill under maximum fatigue.;0500. Decade 3, bead 8. Mode: Sorrowful. Peak. The long carrying.;0500. Decade 3, bead 8. Mode: Joyful. Recovery. Light walk only.
9;Taper;x1.10;Taper. Volume drops, intensity preserved.;0500. Decade 3, bead 9. Taper. Vigil + long mobility.;0500. Decade 3, bead 9. Mode: Sorrowful. Taper. Fewer reps, faster.;0500. Decade 3, bead 9. Mode: Glorious. Taper. Heavy but short.;0500. Decade 3, bead 9. Mode: Luminous. Taper. Crisp. Sharp.;0500. Decade 3, bead 9. Mode: Sorrowful. Taper. Short and quick.;0500. Decade 3, bead 9. Mode: Joyful. Recovery. The presentation.
10;Boss;N/A;Boss bead. No periodization. The fight is the fight.;0500. Decade 3, bead 10. Boss week. Vigil only. Conserve.;0500. Decade 3, bead 10. Mode: Sorrowful. Pre-fight. Easy run. Save the legs.;0500. Decade 3, bead 10. Mode: Glorious. Pre-fight. Patterning only.;0500. Decade 3, bead 10. Mode: Luminous. Pre-fight. Skill at low load.;0500. Decade 3, bead 10. Mode: Sorrowful. Pre-fight. Walk + breath.;0500. Decade 3, bead 10. BOSS DAY. The Anvil is open. Make the connection.
